,ticker_symbol,day_date,close_value
641,AAPL,2017-11-08,176.24
642,AAPL,2017-11-07,174.81
643,AAPL,2017-11-06,174.25
644,AAPL,2017-11-03,172.5
645,AAPL,2017-11-02,168.11
646,AAPL,2017-11-01,166.89
647,AAPL,2017-10-31,169.04
648,AAPL,2017-10-30,166.72
649,AAPL,2017-10-27,163.05
650,AAPL,2017-10-26,157.41
651,AAPL,2017-10-25,156.41
652,AAPL,2017-10-24,157.1
653,AAPL,2017-10-23,156.17
654,AAPL,2017-10-20,156.25
655,AAPL,2017-10-19,155.98
656,AAPL,2017-10-18,159.76
657,AAPL,2017-10-17,160.47
658,AAPL,2017-10-16,159.88
659,AAPL,2017-10-13,156.99
660,AAPL,2017-10-12,156.0
661,AAPL,2017-10-11,156.55
662,AAPL,2017-10-10,155.9
663,AAPL,2017-10-09,155.84
664,AAPL,2017-10-06,155.3
665,AAPL,2017-10-05,155.39
666,AAPL,2017-10-04,153.48
667,AAPL,2017-10-03,154.48
668,AAPL,2017-10-02,153.81
669,AAPL,2017-09-29,154.12
670,AAPL,2017-09-28,153.28
671,AAPL,2017-09-27,154.23
672,AAPL,2017-09-26,153.14
673,AAPL,2017-09-25,150.55
674,AAPL,2017-09-22,151.89
675,AAPL,2017-09-21,153.39
676,AAPL,2017-09-20,156.07
677,AAPL,2017-09-19,158.73
678,AAPL,2017-09-18,158.67
679,AAPL,2017-09-15,159.88
680,AAPL,2017-09-14,158.28
681,AAPL,2017-09-13,159.65
682,AAPL,2017-09-12,160.86
683,AAPL,2017-09-11,161.5
684,AAPL,2017-09-08,158.63
685,AAPL,2017-09-07,161.26
686,AAPL,2017-09-06,161.91
687,AAPL,2017-09-05,162.08
688,AAPL,2017-09-01,164.05
689,AAPL,2017-08-31,164.0
690,AAPL,2017-08-30,163.35
691,AAPL,2017-08-29,162.91
692,AAPL,2017-08-28,161.47
693,AAPL,2017-08-25,159.86
694,AAPL,2017-08-24,159.27
695,AAPL,2017-08-23,159.98
696,AAPL,2017-08-22,159.78
697,AAPL,2017-08-21,157.21
698,AAPL,2017-08-18,157.5
699,AAPL,2017-08-17,157.86
700,AAPL,2017-08-16,160.95
